<meta message track_name name='Sonate Nr. 23 Op. 57' time=0>
<meta message track_name name='Appassionata' time=0>
<meta message copyright text='Copyright © 2001 by Bernd Krueger' time=0>
<meta message text text='Ludwig van Beethoven' time=0>
<meta message text text='Allegro assai' time=0>
<meta message text text='Fertiggestellt am 26.9.2001\n' time=0>
<meta message text text='Update am 23.10.01\n' time=0>
<meta message text text='Normierung: 23.12.2002\n' time=0>
<meta message text text='Update am 21.7.2012\n' time=0>
<meta message text text='Dauer: 9:22 Minuten\n' time=0>
<meta message smpte_offset frame_rate=25 hours=32 minutes=0 seconds=3 frames=0 sub_frames=0 time=0>
<meta message time_signature numerator=12 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='Ab' time=0>
<meta message set_tempo tempo=361816 time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
<meta message text text='bdca426d104a26ac9dcb070447587523' time=0>
control_change channel=0 control=91 value=127 time=0
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=64 value=0 time=14
<meta message set_tempo tempo=383779 time=2146>
note_on channel=0 note=60 velocity=35 time=0
note_on channel=0 note=36 velocity=27 time=0
<meta message set_tempo tempo=435667 time=240>
<meta message set_tempo tempo=546398 time=360>
note_on channel=0 note=36 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=56 velocity=31 time=0
note_on channel=0 note=32 velocity=25 time=0
<meta message set_tempo tempo=370966 time=120>
note_on channel=0 note=32 velocity=0 time=0
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=53 velocity=28 time=0
note_on channel=0 note=29 velocity=22 time=0
note_on channel=0 note=29 velocity=0 time=2160
note_on channel=0 note=53 velocity=0 time=0
note_on channel=0 note=56 velocity=35 time=0
note_on channel=0 note=32 velocity=27 time=0
<meta message set_tempo tempo=389130 time=240>
<meta message set_tempo tempo=429707 time=360>
note_on channel=0 note=32 velocity=0 time=0
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=60 velocity=30 time=0
note_on channel=0 note=36 velocity=24 time=0
<meta message set_tempo tempo=352195 time=120>
note_on channel=0 note=36 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=65 velocity=35 time=0
note_on channel=0 note=41 velocity=27 time=0
<meta message set_tempo tempo=370966 time=720>
note_on channel=0 note=41 velocity=0 time=0
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=68 velocity=35 time=0
note_on channel=0 note=44 velocity=27 time=0
<meta message set_tempo tempo=376813 time=240>
<meta message set_tempo tempo=406201 time=360>
note_on channel=0 note=44 velocity=0 time=0
note_on channel=0 note=68 velocity=0 time=0
note_on channel=0 note=72 velocity=30 time=0
note_on channel=0 note=48 velocity=24 time=0
<meta message set_tempo tempo=370966 time=120>
note_on channel=0 note=48 velocity=0 time=0
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=77 velocity=35 time=0
note_on channel=0 note=53 velocity=27 time=0
<meta message set_tempo tempo=391901 time=480>
note_on channel=0 note=53 velocity=0 time=230
note_on channel=0 note=77 velocity=0 time=0
<meta message set_tempo tempo=370966 time=10>
note_on channel=0 note=65 velocity=33 time=0
note_on channel=0 note=56 velocity=26 time=0
note_on channel=0 note=56 velocity=0 time=720
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=72 velocity=35 time=0
note_on channel=0 note=55 velocity=26 time=0
note_on channel=0 note=60 velocity=26 time=0
note_on channel=0 note=52 velocity=26 time=0
control_change channel=0 control=64 value=127 time=309
<meta message set_tempo tempo=397483 time=891>
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=74 velocity=33 time=0
note_on channel=0 note=74 velocity=0 time=180
note_on channel=0 note=72 velocity=31 time=0
<meta message set_tempo tempo=346821 time=60>
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=55 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=74 velocity=32 time=0
note_on channel=0 note=53 velocity=26 time=0
note_on channel=0 note=59 velocity=26 time=0
note_on channel=0 note=56 velocity=26 time=0
control_change channel=0 control=64 value=0 time=12
<meta message set_tempo tempo=345821 time=28>
<meta message set_tempo tempo=344828 time=40>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=28 time=0
<meta message set_tempo tempo=343840 time=20>
control_change channel=0 control=64 value=127 time=0
<meta message set_tempo tempo=342857 time=40>
note_on channel=0 note=76 velocity=0 time=20
note_on channel=0 note=74 velocity=32 time=0
<meta message set_tempo tempo=341880 time=20>
<meta message set_tempo tempo=340909 time=20>
<meta message set_tempo tempo=339943 time=40>
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=28 time=0
<meta message set_tempo tempo=338983 time=40>
<meta message set_tempo tempo=338028 time=20>
